decision_id,episode_id,scenario_id,step_index,timestamp,region_id,robot_region,battery_soc,distance,estimated_move_time,estimated_energy,switch_cost,scene_weight,reachable,counterfactual_risk_gain
scenario_1_kitchen_pm_spike_ep00_d030,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,30,2026-08-01T09:15:00,A,B,91.60000000000005,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,63.27427558494469
scenario_1_kitchen_pm_spike_ep00_d030,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,30,2026-08-01T09:15:00,B,B,91.60000000000005,0.0,0.0,0.0,0.0,1.0,1,42.87897560025931
scenario_1_kitchen_pm_spike_ep00_d030,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,30,2026-08-01T09:15:00,C,B,91.60000000000005,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,721.8799374918808
scenario_1_kitchen_pm_spike_ep00_d030,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,30,2026-08-01T09:15:00,D,B,91.60000000000005,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,49.94736062281345
scenario_1_kitchen_pm_spike_ep00_d033,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,33,2026-08-01T09:16:30,A,C,91.36000000000006,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,66.6678407524746
scenario_1_kitchen_pm_spike_ep00_d033,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,33,2026-08-01T09:16:30,B,C,91.36000000000006,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,47.566930515800095
scenario_1_kitchen_pm_spike_ep00_d033,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,33,2026-08-01T09:16:30,C,C,91.36000000000006,0.0,0.0,0.0,0.0,1.0,1,685.9667605369333
scenario_1_kitchen_pm_spike_ep00_d033,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,33,2026-08-01T09:16:30,D,C,91.36000000000006,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,54.19424796174894
scenario_1_kitchen_pm_spike_ep00_d036,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,36,2026-08-01T09:18:00,A,A,91.12000000000006,0.0,0.0,0.0,0.0,1.0,1,69.84393180278562
scenario_1_kitchen_pm_spike_ep00_d036,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,36,2026-08-01T09:18:00,B,A,91.12000000000006,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,51.95514380678719
